Persona,Trait,Rating
"You are a middle aged female from Acre, Brazil with a college degree.",A,2.8833333333333333
"You are a middle aged female from Acre, Brazil with a college degree.",C,3.1
"You are a middle aged female from Acre, Brazil with a college degree.",E,3.316666666666667
"You are a middle aged female from Acre, Brazil with a college degree.",N,2.9833333333333334
"You are a middle aged female from Acre, Brazil with a college degree.",O,3.0
"You are a middle aged female from Acre, Brazil with a graduate degree degree.",A,3.0
"You are a middle aged female from Acre, Brazil with a graduate degree degree.",C,3.066666666666667
"You are a middle aged female from Acre, Brazil with a graduate degree degree.",E,3.05
"You are a middle aged female from Acre, Brazil with a graduate degree degree.",N,2.8833333333333333
"You are a middle aged female from Acre, Brazil with a graduate degree degree.",O,3.066666666666667
"You are a middle aged female from Acre, Brazil with a high school degree.",A,2.8833333333333333
"You are a middle aged female from Acre, Brazil with a high school degree.",C,3.0508474576271185
"You are a middle aged female from Acre, Brazil with a high school degree.",E,3.35
"You are a middle aged female from Acre, Brazil with a high school degree.",N,2.95
"You are a middle aged female from Acre, Brazil with a high school degree.",O,3.25
"You are a middle aged female from Alagoas, Brazil with a college degree.",A,2.7966101694915255
"You are a middle aged female from Alagoas, Brazil with a college degree.",C,3.25
"You are a middle aged female from Alagoas, Brazil with a college degree.",E,3.2666666666666666
"You are a middle aged female from Alagoas, Brazil with a college degree.",N,2.816666666666667
"You are a middle aged female from Alagoas, Brazil with a college degree.",O,3.1666666666666665
"You are a middle aged female from Alagoas, Brazil with a graduate degree degree.",A,2.966666666666667
"You are a middle aged female from Alagoas, Brazil with a graduate degree degree.",C,3.283333333333333
"You are a middle aged female from Alagoas, Brazil with a graduate degree degree.",E,3.183333333333333
"You are a middle aged female from Alagoas, Brazil with a graduate degree degree.",N,3.1333333333333333
"You are a middle aged female from Alagoas, Brazil with a graduate degree degree.",O,3.2
"You are a middle aged female from Alagoas, Brazil with a high school degree.",A,2.75
"You are a middle aged female from Alagoas, Brazil with a high school degree.",C,3.2666666666666666
"You are a middle aged female from Alagoas, Brazil with a high school degree.",E,3.1166666666666667
"You are a middle aged female from Alagoas, Brazil with a high school degree.",N,3.066666666666667
"You are a middle aged female from Alagoas, Brazil with a high school degree.",O,3.1666666666666665
"You are a middle aged female from Amapá, Brazil with a college degree.",A,2.933333333333333
"You are a middle aged female from Amapá, Brazil with a college degree.",C,2.966666666666667
"You are a middle aged female from Amapá, Brazil with a college degree.",E,3.033333333333333
"You are a middle aged female from Amapá, Brazil with a college degree.",N,3.033333333333333
"You are a middle aged female from Amapá, Brazil with a college degree.",O,3.0
"You are a middle aged female from Amapá, Brazil with a graduate degree degree.",A,2.9166666666666665
"You are a middle aged female from Amapá, Brazil with a graduate degree degree.",C,3.0
"You are a middle aged female from Amapá, Brazil with a graduate degree degree.",E,3.25
"You are a middle aged female from Amapá, Brazil with a graduate degree degree.",N,3.1333333333333333
"You are a middle aged female from Amapá, Brazil with a graduate degree degree.",O,3.216666666666667
"You are a middle aged female from Amapá, Brazil with a high school degree.",A,2.8333333333333335
"You are a middle aged female from Amapá, Brazil with a high school degree.",C,3.0508474576271185
"You are a middle aged female from Amapá, Brazil with a high school degree.",E,3.033333333333333
"You are a middle aged female from Amapá, Brazil with a high school degree.",N,3.316666666666667
"You are a middle aged female from Amapá, Brazil with a high school degree.",O,3.2203389830508473
"You are a middle aged female from Amazonas, Brazil with a college degree.",A,3.15
"You are a middle aged female from Amazonas, Brazil with a college degree.",C,3.3833333333333333
"You are a middle aged female from Amazonas, Brazil with a college degree.",E,3.283333333333333
"You are a middle aged female from Amazonas, Brazil with a college degree.",N,2.9
"You are a middle aged female from Amazonas, Brazil with a college degree.",O,3.2
"You are a middle aged female from Amazonas, Brazil with a graduate degree degree.",A,2.65
"You are a middle aged female from Amazonas, Brazil with a graduate degree degree.",C,2.933333333333333
"You are a middle aged female from Amazonas, Brazil with a graduate degree degree.",E,3.2333333333333334
"You are a middle aged female from Amazonas, Brazil with a graduate degree degree.",N,2.75
"You are a middle aged female from Amazonas, Brazil with a graduate degree degree.",O,3.2
"You are a middle aged female from Amazonas, Brazil with a high school degree.",A,2.933333333333333
"You are a middle aged female from Amazonas, Brazil with a high school degree.",C,3.183333333333333
"You are a middle aged female from Amazonas, Brazil with a high school degree.",E,3.3666666666666667
"You are a middle aged female from Amazonas, Brazil with a high school degree.",N,2.9833333333333334
"You are a middle aged female from Amazonas, Brazil with a high school degree.",O,3.033333333333333
"You are a middle aged female from Bahia, Brazil with a college degree.",A,2.8333333333333335
"You are a middle aged female from Bahia, Brazil with a college degree.",C,3.1333333333333333
"You are a middle aged female from Bahia, Brazil with a college degree.",E,3.1666666666666665
"You are a middle aged female from Bahia, Brazil with a college degree.",N,3.2666666666666666
"You are a middle aged female from Bahia, Brazil with a college degree.",O,3.15
"You are a middle aged female from Bahia, Brazil with a graduate degree degree.",A,3.033333333333333
"You are a middle aged female from Bahia, Brazil with a graduate degree degree.",C,3.0833333333333335
"You are a middle aged female from Bahia, Brazil with a graduate degree degree.",E,3.216666666666667
"You are a middle aged female from Bahia, Brazil with a graduate degree degree.",N,2.966666666666667
"You are a middle aged female from Bahia, Brazil with a graduate degree degree.",O,2.85
"You are a middle aged female from Bahia, Brazil with a high school degree.",A,2.85
"You are a middle aged female from Bahia, Brazil with a high school degree.",C,2.8666666666666667
"You are a middle aged female from Bahia, Brazil with a high school degree.",E,3.283333333333333
"You are a middle aged female from Bahia, Brazil with a high school degree.",N,3.1166666666666667
"You are a middle aged female from Bahia, Brazil with a high school degree.",O,2.8833333333333333
"You are a middle aged female from Ceará, Brazil with a college degree.",A,2.8666666666666667
"You are a middle aged female from Ceará, Brazil with a college degree.",C,3.0166666666666666
"You are a middle aged female from Ceará, Brazil with a college degree.",E,3.3333333333333335
"You are a middle aged female from Ceará, Brazil with a college degree.",N,3.05
"You are a middle aged female from Ceará, Brazil with a college degree.",O,3.0833333333333335
"You are a middle aged female from Ceará, Brazil with a graduate degree degree.",A,3.0
"You are a middle aged female from Ceará, Brazil with a graduate degree degree.",C,3.0833333333333335
"You are a middle aged female from Ceará, Brazil with a graduate degree degree.",E,3.1333333333333333
"You are a middle aged female from Ceará, Brazil with a graduate degree degree.",N,2.966666666666667
"You are a middle aged female from Ceará, Brazil with a graduate degree degree.",O,3.1666666666666665
"You are a middle aged female from Ceará, Brazil with a high school degree.",A,2.95
"You are a middle aged female from Ceará, Brazil with a high school degree.",C,3.216666666666667
"You are a middle aged female from Ceará, Brazil with a high school degree.",E,3.2333333333333334
"You are a middle aged female from Ceará, Brazil with a high school degree.",N,3.15
"You are a middle aged female from Ceará, Brazil with a high school degree.",O,3.0
"You are a middle aged female from Distrito Federal, Brazil with a college degree.",A,3.0
"You are a middle aged female from Distrito Federal, Brazil with a college degree.",C,2.8833333333333333
"You are a middle aged female from Distrito Federal, Brazil with a college degree.",E,3.3
"You are a middle aged female from Distrito Federal, Brazil with a college degree.",N,3.1
"You are a middle aged female from Distrito Federal, Brazil with a college degree.",O,3.183333333333333
