Persona,Trait,Rating
"You are a middle aged female from Andaman and Nicobar Islands, India with a college degree.",A,3.0
"You are a middle aged female from Andaman and Nicobar Islands, India with a college degree.",C,3.1333333333333333
"You are a middle aged female from Andaman and Nicobar Islands, India with a college degree.",E,3.1666666666666665
"You are a middle aged female from Andaman and Nicobar Islands, India with a college degree.",N,2.966666666666667
"You are a middle aged female from Andaman and Nicobar Islands, India with a college degree.",O,3.0166666666666666
"You are a middle aged female from Andaman and Nicobar Islands, India with a graduate degree degree.",A,2.816666666666667
"You are a middle aged female from Andaman and Nicobar Islands, India with a graduate degree degree.",C,3.1666666666666665
"You are a middle aged female from Andaman and Nicobar Islands, India with a graduate degree degree.",E,3.35
"You are a middle aged female from Andaman and Nicobar Islands, India with a graduate degree degree.",N,3.0166666666666666
"You are a middle aged female from Andaman and Nicobar Islands, India with a graduate degree degree.",O,3.1333333333333333
"You are a middle aged female from Andaman and Nicobar Islands, India with a high school degree.",A,2.8666666666666667
"You are a middle aged female from Andaman and Nicobar Islands, India with a high school degree.",C,3.05
"You are a middle aged female from Andaman and Nicobar Islands, India with a high school degree.",E,3.2666666666666666
"You are a middle aged female from Andaman and Nicobar Islands, India with a high school degree.",N,3.05
"You are a middle aged female from Andaman and Nicobar Islands, India with a high school degree.",O,3.1166666666666667
"You are a middle aged female from Andhra Pradesh, India with a college degree.",A,2.8833333333333333
"You are a middle aged female from Andhra Pradesh, India with a college degree.",C,3.066666666666667
"You are a middle aged female from Andhra Pradesh, India with a college degree.",E,3.033333333333333
"You are a middle aged female from Andhra Pradesh, India with a college degree.",N,3.2333333333333334
"You are a middle aged female from Andhra Pradesh, India with a college degree.",O,3.3666666666666667
"You are a middle aged female from Andhra Pradesh, India with a graduate degree degree.",A,2.7
"You are a middle aged female from Andhra Pradesh, India with a graduate degree degree.",C,3.0166666666666666
"You are a middle aged female from Andhra Pradesh, India with a graduate degree degree.",E,3.3
"You are a middle aged female from Andhra Pradesh, India with a graduate degree degree.",N,2.9833333333333334
"You are a middle aged female from Andhra Pradesh, India with a graduate degree degree.",O,3.15
"You are a middle aged female from Andhra Pradesh, India with a high school degree.",A,2.9
"You are a middle aged female from Andhra Pradesh, India with a high school degree.",C,2.9
"You are a middle aged female from Andhra Pradesh, India with a high school degree.",E,3.2
"You are a middle aged female from Andhra Pradesh, India with a high school degree.",N,3.4166666666666665
"You are a middle aged female from Andhra Pradesh, India with a high school degree.",O,3.183333333333333
"You are a middle aged female from Arunachal Pradesh, India with a college degree.",A,2.6779661016949152
"You are a middle aged female from Arunachal Pradesh, India with a college degree.",C,3.066666666666667
"You are a middle aged female from Arunachal Pradesh, India with a college degree.",E,3.183333333333333
"You are a middle aged female from Arunachal Pradesh, India with a college degree.",N,3.2
"You are a middle aged female from Arunachal Pradesh, India with a college degree.",O,3.0
"You are a middle aged female from Arunachal Pradesh, India with a graduate degree degree.",A,2.8333333333333335
"You are a middle aged female from Arunachal Pradesh, India with a graduate degree degree.",C,2.966666666666667
"You are a middle aged female from Arunachal Pradesh, India with a graduate degree degree.",E,3.216666666666667
"You are a middle aged female from Arunachal Pradesh, India with a graduate degree degree.",N,3.25
"You are a middle aged female from Arunachal Pradesh, India with a graduate degree degree.",O,2.8333333333333335
"You are a middle aged female from Arunachal Pradesh, India with a high school degree.",A,2.966666666666667
"You are a middle aged female from Arunachal Pradesh, India with a high school degree.",C,3.0
"You are a middle aged female from Arunachal Pradesh, India with a high school degree.",E,3.3333333333333335
"You are a middle aged female from Arunachal Pradesh, India with a high school degree.",N,2.8833333333333333
"You are a middle aged female from Arunachal Pradesh, India with a high school degree.",O,3.2
"You are a middle aged female from Assam, India with a college degree.",A,2.783333333333333
"You are a middle aged female from Assam, India with a college degree.",C,2.966666666666667
"You are a middle aged female from Assam, India with a college degree.",E,3.2666666666666666
"You are a middle aged female from Assam, India with a college degree.",N,3.0833333333333335
"You are a middle aged female from Assam, India with a college degree.",O,3.1333333333333333
"You are a middle aged female from Assam, India with a graduate degree degree.",A,2.95
"You are a middle aged female from Assam, India with a graduate degree degree.",C,3.183333333333333
"You are a middle aged female from Assam, India with a graduate degree degree.",E,3.1666666666666665
"You are a middle aged female from Assam, India with a graduate degree degree.",N,2.933333333333333
"You are a middle aged female from Assam, India with a graduate degree degree.",O,3.0833333333333335
"You are a middle aged female from Assam, India with a high school degree.",A,2.7333333333333334
"You are a middle aged female from Assam, India with a high school degree.",C,3.0833333333333335
"You are a middle aged female from Assam, India with a high school degree.",E,3.2666666666666666
"You are a middle aged female from Assam, India with a high school degree.",N,3.1
"You are a middle aged female from Assam, India with a high school degree.",O,3.1666666666666665
"You are a middle aged female from Bihar, India with a college degree.",A,2.9
"You are a middle aged female from Bihar, India with a college degree.",C,3.0833333333333335
"You are a middle aged female from Bihar, India with a college degree.",E,3.216666666666667
"You are a middle aged female from Bihar, India with a college degree.",N,2.9833333333333334
"You are a middle aged female from Bihar, India with a college degree.",O,2.966666666666667
"You are a middle aged female from Bihar, India with a graduate degree degree.",A,2.7
"You are a middle aged female from Bihar, India with a graduate degree degree.",C,3.183333333333333
"You are a middle aged female from Bihar, India with a graduate degree degree.",E,3.1166666666666667
"You are a middle aged female from Bihar, India with a graduate degree degree.",N,3.0
"You are a middle aged female from Bihar, India with a graduate degree degree.",O,3.2
"You are a middle aged female from Bihar, India with a high school degree.",A,2.533333333333333
"You are a middle aged female from Bihar, India with a high school degree.",C,3.15
"You are a middle aged female from Bihar, India with a high school degree.",E,3.05
"You are a middle aged female from Bihar, India with a high school degree.",N,2.8833333333333333
"You are a middle aged female from Bihar, India with a high school degree.",O,3.1
"You are a middle aged female from Chandigarh, India with a college degree.",A,2.95
"You are a middle aged female from Chandigarh, India with a college degree.",C,3.0166666666666666
"You are a middle aged female from Chandigarh, India with a college degree.",E,3.216666666666667
"You are a middle aged female from Chandigarh, India with a college degree.",N,3.0833333333333335
"You are a middle aged female from Chandigarh, India with a college degree.",O,3.15
"You are a middle aged female from Chandigarh, India with a graduate degree degree.",A,2.8833333333333333
"You are a middle aged female from Chandigarh, India with a graduate degree degree.",C,3.1166666666666667
"You are a middle aged female from Chandigarh, India with a graduate degree degree.",E,3.0166666666666666
"You are a middle aged female from Chandigarh, India with a graduate degree degree.",N,3.15
"You are a middle aged female from Chandigarh, India with a graduate degree degree.",O,3.0833333333333335
"You are a middle aged female from Chandigarh, India with a high school degree.",A,2.8333333333333335
"You are a middle aged female from Chandigarh, India with a high school degree.",C,3.0166666666666666
"You are a middle aged female from Chandigarh, India with a high school degree.",E,3.316666666666667
"You are a middle aged female from Chandigarh, India with a high school degree.",N,3.05
"You are a middle aged female from Chandigarh, India with a high school degree.",O,3.15
"You are a middle aged female from Chhattisgarh, India with a college degree.",A,2.966666666666667
"You are a middle aged female from Chhattisgarh, India with a college degree.",C,3.1333333333333333
"You are a middle aged female from Chhattisgarh, India with a college degree.",E,3.05
"You are a middle aged female from Chhattisgarh, India with a college degree.",N,3.066666666666667
"You are a middle aged female from Chhattisgarh, India with a college degree.",O,2.9833333333333334
"You are a middle aged female from Chhattisgarh, India with a graduate degree degree.",A,2.9
"You are a middle aged female from Chhattisgarh, India with a graduate degree degree.",C,3.0
"You are a middle aged female from Chhattisgarh, India with a graduate degree degree.",E,3.283333333333333
"You are a middle aged female from Chhattisgarh, India with a graduate degree degree.",N,3.1166666666666667
"You are a middle aged female from Chhattisgarh, India with a graduate degree degree.",O,3.1
"You are a middle aged female from Chhattisgarh, India with a high school degree.",A,2.76271186440678
"You are a middle aged female from Chhattisgarh, India with a high school degree.",C,3.1
"You are a middle aged female from Chhattisgarh, India with a high school degree.",E,3.316666666666667
"You are a middle aged female from Chhattisgarh, India with a high school degree.",N,3.1666666666666665
"You are a middle aged female from Chhattisgarh, India with a high school degree.",O,3.066666666666667
"You are a middle aged female from Dadra and Nagar Haveli and Daman and Diu, India with a college degree.",A,2.8666666666666667
"You are a middle aged female from Dadra and Nagar Haveli and Daman and Diu, India with a college degree.",C,3.05
"You are a middle aged female from Dadra and Nagar Haveli and Daman and Diu, India with a college degree.",E,3.2666666666666666
"You are a middle aged female from Dadra and Nagar Haveli and Daman and Diu, India with a college degree.",N,3.0
"You are a middle aged female from Dadra and Nagar Haveli and Daman and Diu, India with a college degree.",O,3.2333333333333334
"You are a middle aged female from Dadra and Nagar Haveli and Daman and Diu, India with a graduate degree degree.",A,2.85
"You are a middle aged female from Dadra and Nagar Haveli and Daman and Diu, India with a graduate degree degree.",C,3.1333333333333333
"You are a middle aged female from Dadra and Nagar Haveli and Daman and Diu, India with a graduate degree degree.",E,3.3
"You are a middle aged female from Dadra and Nagar Haveli and Daman and Diu, India with a graduate degree degree.",N,3.0166666666666666
"You are a middle aged female from Dadra and Nagar Haveli and Daman and Diu, India with a graduate degree degree.",O,3.05
"You are a middle aged female from Dadra and Nagar Haveli and Daman and Diu, India with a high school degree.",A,2.8
"You are a middle aged female from Dadra and Nagar Haveli and Daman and Diu, India with a high school degree.",C,2.9833333333333334
"You are a middle aged female from Dadra and Nagar Haveli and Daman and Diu, India with a high school degree.",E,3.4
"You are a middle aged female from Dadra and Nagar Haveli and Daman and Diu, India with a high school degree.",N,3.2
"You are a middle aged female from Dadra and Nagar Haveli and Daman and Diu, India with a high school degree.",O,3.2
"You are a middle aged female from Delhi, India with a college degree.",A,2.933333333333333
"You are a middle aged female from Delhi, India with a college degree.",C,2.8
"You are a middle aged female from Delhi, India with a college degree.",E,3.3333333333333335
"You are a middle aged female from Delhi, India with a college degree.",N,3.283333333333333
"You are a middle aged female from Delhi, India with a college degree.",O,3.1333333333333333
"You are a middle aged female from Delhi, India with a graduate degree degree.",A,2.7
"You are a middle aged female from Delhi, India with a graduate degree degree.",C,2.783333333333333
"You are a middle aged female from Delhi, India with a graduate degree degree.",E,3.3
"You are a middle aged female from Delhi, India with a graduate degree degree.",N,3.35
"You are a middle aged female from Delhi, India with a graduate degree degree.",O,3.183333333333333
"You are a middle aged female from Delhi, India with a high school degree.",A,2.783333333333333
"You are a middle aged female from Delhi, India with a high school degree.",C,2.9
"You are a middle aged female from Delhi, India with a high school degree.",E,3.25
"You are a middle aged female from Delhi, India with a high school degree.",N,3.0
"You are a middle aged female from Delhi, India with a high school degree.",O,3.05
"You are a middle aged female from Goa, India with a college degree.",A,2.95
"You are a middle aged female from Goa, India with a college degree.",C,3.316666666666667
"You are a middle aged female from Goa, India with a college degree.",E,3.066666666666667
"You are a middle aged female from Goa, India with a college degree.",N,2.9
"You are a middle aged female from Goa, India with a college degree.",O,3.183333333333333
