Persona,Trait,Rating
"You are a middle aged female from Aichi, Japan with a college degree.",A,2.783333333333333
"You are a middle aged female from Aichi, Japan with a college degree.",C,3.1333333333333333
"You are a middle aged female from Aichi, Japan with a college degree.",E,3.316666666666667
"You are a middle aged female from Aichi, Japan with a college degree.",N,3.0166666666666666
"You are a middle aged female from Aichi, Japan with a college degree.",O,3.033333333333333
"You are a middle aged female from Aichi, Japan with a graduate degree degree.",A,2.85
"You are a middle aged female from Aichi, Japan with a graduate degree degree.",C,3.183333333333333
"You are a middle aged female from Aichi, Japan with a graduate degree degree.",E,3.4
"You are a middle aged female from Aichi, Japan with a graduate degree degree.",N,3.316666666666667
"You are a middle aged female from Aichi, Japan with a graduate degree degree.",O,3.066666666666667
"You are a middle aged female from Aichi, Japan with a high school degree.",A,2.6
"You are a middle aged female from Aichi, Japan with a high school degree.",C,3.05
"You are a middle aged female from Aichi, Japan with a high school degree.",E,3.283333333333333
"You are a middle aged female from Aichi, Japan with a high school degree.",N,2.9833333333333334
"You are a middle aged female from Aichi, Japan with a high school degree.",O,2.9833333333333334
"You are a middle aged female from Akita, Japan with a college degree.",A,2.8833333333333333
"You are a middle aged female from Akita, Japan with a college degree.",C,3.033333333333333
"You are a middle aged female from Akita, Japan with a college degree.",E,3.216666666666667
"You are a middle aged female from Akita, Japan with a college degree.",N,3.1
"You are a middle aged female from Akita, Japan with a college degree.",O,3.1333333333333333
"You are a middle aged female from Akita, Japan with a graduate degree degree.",A,3.033333333333333
"You are a middle aged female from Akita, Japan with a graduate degree degree.",C,2.933333333333333
"You are a middle aged female from Akita, Japan with a graduate degree degree.",E,3.0833333333333335
"You are a middle aged female from Akita, Japan with a graduate degree degree.",N,3.1666666666666665
"You are a middle aged female from Akita, Japan with a graduate degree degree.",O,2.95
"You are a middle aged female from Akita, Japan with a high school degree.",A,3.0166666666666666
"You are a middle aged female from Akita, Japan with a high school degree.",C,3.0833333333333335
"You are a middle aged female from Akita, Japan with a high school degree.",E,3.25
"You are a middle aged female from Akita, Japan with a high school degree.",N,3.1
"You are a middle aged female from Akita, Japan with a high school degree.",O,3.1166666666666667
"You are a middle aged female from Aomori, Japan with a college degree.",A,2.683333333333333
"You are a middle aged female from Aomori, Japan with a college degree.",C,2.9833333333333334
"You are a middle aged female from Aomori, Japan with a college degree.",E,3.2666666666666666
"You are a middle aged female from Aomori, Japan with a college degree.",N,3.183333333333333
"You are a middle aged female from Aomori, Japan with a college degree.",O,3.0833333333333335
"You are a middle aged female from Aomori, Japan with a graduate degree degree.",A,2.9833333333333334
"You are a middle aged female from Aomori, Japan with a graduate degree degree.",C,2.9166666666666665
"You are a middle aged female from Aomori, Japan with a graduate degree degree.",E,3.2
"You are a middle aged female from Aomori, Japan with a graduate degree degree.",N,3.216666666666667
"You are a middle aged female from Aomori, Japan with a graduate degree degree.",O,3.1166666666666667
"You are a middle aged female from Aomori, Japan with a high school degree.",A,2.816666666666667
"You are a middle aged female from Aomori, Japan with a high school degree.",C,3.1864406779661016
"You are a middle aged female from Aomori, Japan with a high school degree.",E,3.25
"You are a middle aged female from Aomori, Japan with a high school degree.",N,3.1333333333333333
"You are a middle aged female from Aomori, Japan with a high school degree.",O,2.95
"You are a middle aged female from Chiba, Japan with a college degree.",A,2.7666666666666666
"You are a middle aged female from Chiba, Japan with a college degree.",C,3.0833333333333335
"You are a middle aged female from Chiba, Japan with a college degree.",E,3.3666666666666667
"You are a middle aged female from Chiba, Japan with a college degree.",N,2.85
"You are a middle aged female from Chiba, Japan with a college degree.",O,3.0833333333333335
"You are a middle aged female from Chiba, Japan with a graduate degree degree.",A,2.85
"You are a middle aged female from Chiba, Japan with a graduate degree degree.",C,3.3220338983050848
"You are a middle aged female from Chiba, Japan with a graduate degree degree.",E,3.316666666666667
"You are a middle aged female from Chiba, Japan with a graduate degree degree.",N,3.05
"You are a middle aged female from Chiba, Japan with a graduate degree degree.",O,3.1166666666666667
"You are a middle aged female from Chiba, Japan with a high school degree.",A,2.8
"You are a middle aged female from Chiba, Japan with a high school degree.",C,2.95
"You are a middle aged female from Chiba, Japan with a high school degree.",E,3.1333333333333333
"You are a middle aged female from Chiba, Japan with a high school degree.",N,3.3
"You are a middle aged female from Chiba, Japan with a high school degree.",O,3.066666666666667
"You are a middle aged female from Ehime, Japan with a college degree.",A,2.816666666666667
"You are a middle aged female from Ehime, Japan with a college degree.",C,3.0166666666666666
"You are a middle aged female from Ehime, Japan with a college degree.",E,3.3
"You are a middle aged female from Ehime, Japan with a college degree.",N,3.0
"You are a middle aged female from Ehime, Japan with a college degree.",O,3.0166666666666666
"You are a middle aged female from Ehime, Japan with a graduate degree degree.",A,2.9
"You are a middle aged female from Ehime, Japan with a graduate degree degree.",C,2.966666666666667
