Persona,Trait,Rating
"You are a middle aged female from Al-Bahah, Saudi Arabia with a college degree.",A,2.85
"You are a middle aged female from Al-Bahah, Saudi Arabia with a college degree.",C,3.033333333333333
"You are a middle aged female from Al-Bahah, Saudi Arabia with a college degree.",E,3.2666666666666666
"You are a middle aged female from Al-Bahah, Saudi Arabia with a college degree.",N,3.25
"You are a middle aged female from Al-Bahah, Saudi Arabia with a college degree.",O,3.033333333333333
"You are a middle aged female from Al-Bahah, Saudi Arabia with a graduate degree degree.",A,2.966666666666667
"You are a middle aged female from Al-Bahah, Saudi Arabia with a graduate degree degree.",C,3.15
"You are a middle aged female from Al-Bahah, Saudi Arabia with a graduate degree degree.",E,3.216666666666667
"You are a middle aged female from Al-Bahah, Saudi Arabia with a graduate degree degree.",N,3.0
"You are a middle aged female from Al-Bahah, Saudi Arabia with a graduate degree degree.",O,3.033333333333333
"You are a middle aged female from Al-Bahah, Saudi Arabia with a high school degree.",A,2.8
"You are a middle aged female from Al-Bahah, Saudi Arabia with a high school degree.",C,3.0833333333333335
"You are a middle aged female from Al-Bahah, Saudi Arabia with a high school degree.",E,3.4
"You are a middle aged female from Al-Bahah, Saudi Arabia with a high school degree.",N,3.3
"You are a middle aged female from Al-Bahah, Saudi Arabia with a high school degree.",O,2.9166666666666665
"You are a middle aged female from Al-Jawf, Saudi Arabia with a college degree.",A,2.85
"You are a middle aged female from Al-Jawf, Saudi Arabia with a college degree.",C,3.1666666666666665
"You are a middle aged female from Al-Jawf, Saudi Arabia with a college degree.",E,3.3666666666666667
"You are a middle aged female from Al-Jawf, Saudi Arabia with a college degree.",N,3.1333333333333333
"You are a middle aged female from Al-Jawf, Saudi Arabia with a college degree.",O,3.033333333333333
"You are a middle aged female from Al-Jawf, Saudi Arabia with a graduate degree degree.",A,2.816666666666667
"You are a middle aged female from Al-Jawf, Saudi Arabia with a graduate degree degree.",C,2.966666666666667
"You are a middle aged female from Al-Jawf, Saudi Arabia with a graduate degree degree.",E,3.35
"You are a middle aged female from Al-Jawf, Saudi Arabia with a graduate degree degree.",N,3.25
"You are a middle aged female from Al-Jawf, Saudi Arabia with a graduate degree degree.",O,2.966666666666667
"You are a middle aged female from Al-Jawf, Saudi Arabia with a high school degree.",A,2.8333333333333335
"You are a middle aged female from Al-Jawf, Saudi Arabia with a high school degree.",C,3.1166666666666667
"You are a middle aged female from Al-Jawf, Saudi Arabia with a high school degree.",E,3.283333333333333
"You are a middle aged female from Al-Jawf, Saudi Arabia with a high school degree.",N,3.183333333333333
"You are a middle aged female from Al-Jawf, Saudi Arabia with a high school degree.",O,3.0833333333333335
"You are a middle aged female from Al-Qassim, Saudi Arabia with a college degree.",A,2.8833333333333333
"You are a middle aged female from Al-Qassim, Saudi Arabia with a college degree.",C,3.1333333333333333
"You are a middle aged female from Al-Qassim, Saudi Arabia with a college degree.",E,3.2333333333333334
"You are a middle aged female from Al-Qassim, Saudi Arabia with a college degree.",N,3.2333333333333334
"You are a middle aged female from Al-Qassim, Saudi Arabia with a college degree.",O,2.9833333333333334
"You are a middle aged female from Al-Qassim, Saudi Arabia with a graduate degree degree.",A,2.783333333333333
"You are a middle aged female from Al-Qassim, Saudi Arabia with a graduate degree degree.",C,3.066666666666667
"You are a middle aged female from Al-Qassim, Saudi Arabia with a graduate degree degree.",E,3.25
"You are a middle aged female from Al-Qassim, Saudi Arabia with a graduate degree degree.",N,3.0
"You are a middle aged female from Al-Qassim, Saudi Arabia with a graduate degree degree.",O,2.933333333333333
"You are a middle aged female from Al-Qassim, Saudi Arabia with a high school degree.",A,2.75
"You are a middle aged female from Al-Qassim, Saudi Arabia with a high school degree.",C,3.0833333333333335
"You are a middle aged female from Al-Qassim, Saudi Arabia with a high school degree.",E,3.1166666666666667
"You are a middle aged female from Al-Qassim, Saudi Arabia with a high school degree.",N,3.066666666666667
"You are a middle aged female from Al-Qassim, Saudi Arabia with a high school degree.",O,3.1166666666666667
"You are a middle aged female from Asir, Saudi Arabia with a college degree.",A,2.816666666666667
"You are a middle aged female from Asir, Saudi Arabia with a college degree.",C,2.9
"You are a middle aged female from Asir, Saudi Arabia with a college degree.",E,3.2
"You are a middle aged female from Asir, Saudi Arabia with a college degree.",N,2.933333333333333
"You are a middle aged female from Asir, Saudi Arabia with a college degree.",O,3.0166666666666666
"You are a middle aged female from Asir, Saudi Arabia with a graduate degree degree.",A,2.9
"You are a middle aged female from Asir, Saudi Arabia with a graduate degree degree.",C,3.033333333333333
"You are a middle aged female from Asir, Saudi Arabia with a graduate degree degree.",E,3.25
"You are a middle aged female from Asir, Saudi Arabia with a graduate degree degree.",N,3.1166666666666667
"You are a middle aged female from Asir, Saudi Arabia with a graduate degree degree.",O,3.066666666666667
"You are a middle aged female from Asir, Saudi Arabia with a high school degree.",A,3.0
"You are a middle aged female from Asir, Saudi Arabia with a high school degree.",C,3.1
"You are a middle aged female from Asir, Saudi Arabia with a high school degree.",E,3.3
"You are a middle aged female from Asir, Saudi Arabia with a high school degree.",N,2.966666666666667
"You are a middle aged female from Asir, Saudi Arabia with a high school degree.",O,3.316666666666667
"You are a middle aged female from Eastern Province, Saudi Arabia with a college degree.",A,3.0166666666666666
"You are a middle aged female from Eastern Province, Saudi Arabia with a college degree.",C,3.0
"You are a middle aged female from Eastern Province, Saudi Arabia with a college degree.",E,3.316666666666667
"You are a middle aged female from Eastern Province, Saudi Arabia with a college degree.",N,3.2
"You are a middle aged female from Eastern Province, Saudi Arabia with a college degree.",O,3.1166666666666667
"You are a middle aged female from Eastern Province, Saudi Arabia with a graduate degree degree.",A,2.783333333333333
"You are a middle aged female from Eastern Province, Saudi Arabia with a graduate degree degree.",C,3.1
"You are a middle aged female from Eastern Province, Saudi Arabia with a graduate degree degree.",E,3.2333333333333334
"You are a middle aged female from Eastern Province, Saudi Arabia with a graduate degree degree.",N,3.2666666666666666
"You are a middle aged female from Eastern Province, Saudi Arabia with a graduate degree degree.",O,3.0
"You are a middle aged female from Eastern Province, Saudi Arabia with a high school degree.",A,2.8
"You are a middle aged female from Eastern Province, Saudi Arabia with a high school degree.",C,2.95
"You are a middle aged female from Eastern Province, Saudi Arabia with a high school degree.",E,3.05
"You are a middle aged female from Eastern Province, Saudi Arabia with a high school degree.",N,3.1
"You are a middle aged female from Eastern Province, Saudi Arabia with a high school degree.",O,2.966666666666667
"You are a middle aged female from Hail, Saudi Arabia with a college degree.",A,2.8333333333333335
"You are a middle aged female from Hail, Saudi Arabia with a college degree.",C,3.2333333333333334
"You are a middle aged female from Hail, Saudi Arabia with a college degree.",E,3.216666666666667
"You are a middle aged female from Hail, Saudi Arabia with a college degree.",N,3.05
"You are a middle aged female from Hail, Saudi Arabia with a college degree.",O,3.0833333333333335
"You are a middle aged female from Hail, Saudi Arabia with a graduate degree degree.",A,2.8
"You are a middle aged female from Hail, Saudi Arabia with a graduate degree degree.",C,3.0166666666666666
"You are a middle aged female from Hail, Saudi Arabia with a graduate degree degree.",E,3.15
"You are a middle aged female from Hail, Saudi Arabia with a graduate degree degree.",N,3.15
"You are a middle aged female from Hail, Saudi Arabia with a graduate degree degree.",O,3.05
"You are a middle aged female from Hail, Saudi Arabia with a high school degree.",A,2.8833333333333333
"You are a middle aged female from Hail, Saudi Arabia with a high school degree.",C,3.1186440677966103
"You are a middle aged female from Hail, Saudi Arabia with a high school degree.",E,3.2333333333333334
"You are a middle aged female from Hail, Saudi Arabia with a high school degree.",N,3.1333333333333333
"You are a middle aged female from Hail, Saudi Arabia with a high school degree.",O,3.05
"You are a middle aged female from Jazan, Saudi Arabia with a college degree.",A,2.8333333333333335
"You are a middle aged female from Jazan, Saudi Arabia with a college degree.",C,3.2333333333333334
"You are a middle aged female from Jazan, Saudi Arabia with a college degree.",E,3.2
"You are a middle aged female from Jazan, Saudi Arabia with a college degree.",N,3.033333333333333
"You are a middle aged female from Jazan, Saudi Arabia with a college degree.",O,3.0166666666666666
"You are a middle aged female from Jazan, Saudi Arabia with a graduate degree degree.",A,2.8333333333333335
"You are a middle aged female from Jazan, Saudi Arabia with a graduate degree degree.",C,3.1666666666666665
"You are a middle aged female from Jazan, Saudi Arabia with a graduate degree degree.",E,3.2666666666666666
"You are a middle aged female from Jazan, Saudi Arabia with a graduate degree degree.",N,3.2333333333333334
"You are a middle aged female from Jazan, Saudi Arabia with a graduate degree degree.",O,3.25
"You are a middle aged female from Jazan, Saudi Arabia with a high school degree.",A,2.85
"You are a middle aged female from Jazan, Saudi Arabia with a high school degree.",C,2.8833333333333333
"You are a middle aged female from Jazan, Saudi Arabia with a high school degree.",E,2.8833333333333333
"You are a middle aged female from Jazan, Saudi Arabia with a high school degree.",N,3.1666666666666665
"You are a middle aged female from Jazan, Saudi Arabia with a high school degree.",O,3.2
"You are a middle aged female from Madinah, Saudi Arabia with a college degree.",A,2.8
"You are a middle aged female from Madinah, Saudi Arabia with a college degree.",C,3.1166666666666667
"You are a middle aged female from Madinah, Saudi Arabia with a college degree.",E,3.283333333333333
"You are a middle aged female from Madinah, Saudi Arabia with a college degree.",N,3.1166666666666667
"You are a middle aged female from Madinah, Saudi Arabia with a college degree.",O,3.15
"You are a middle aged female from Madinah, Saudi Arabia with a graduate degree degree.",A,3.033333333333333
"You are a middle aged female from Madinah, Saudi Arabia with a graduate degree degree.",C,3.0677966101694913
"You are a middle aged female from Madinah, Saudi Arabia with a graduate degree degree.",E,3.2666666666666666
"You are a middle aged female from Madinah, Saudi Arabia with a graduate degree degree.",N,3.2
"You are a middle aged female from Madinah, Saudi Arabia with a graduate degree degree.",O,2.8666666666666667
"You are a middle aged female from Madinah, Saudi Arabia with a high school degree.",A,2.9491525423728815
"You are a middle aged female from Madinah, Saudi Arabia with a high school degree.",C,3.033333333333333
"You are a middle aged female from Madinah, Saudi Arabia with a high school degree.",E,3.3333333333333335
"You are a middle aged female from Madinah, Saudi Arabia with a high school degree.",N,3.0
"You are a middle aged female from Madinah, Saudi Arabia with a high school degree.",O,3.2666666666666666
"You are a middle aged female from Makkah, Saudi Arabia with a college degree.",A,2.7
"You are a middle aged female from Makkah, Saudi Arabia with a college degree.",C,3.1666666666666665
"You are a middle aged female from Makkah, Saudi Arabia with a college degree.",E,3.283333333333333
"You are a middle aged female from Makkah, Saudi Arabia with a college degree.",N,3.0166666666666666
"You are a middle aged female from Makkah, Saudi Arabia with a college degree.",O,2.85
"You are a middle aged female from Makkah, Saudi Arabia with a graduate degree degree.",A,2.9166666666666665
"You are a middle aged female from Makkah, Saudi Arabia with a graduate degree degree.",C,3.283333333333333
"You are a middle aged female from Makkah, Saudi Arabia with a graduate degree degree.",E,3.316666666666667
"You are a middle aged female from Makkah, Saudi Arabia with a graduate degree degree.",N,2.933333333333333
"You are a middle aged female from Makkah, Saudi Arabia with a graduate degree degree.",O,3.2333333333333334
"You are a middle aged female from Makkah, Saudi Arabia with a high school degree.",A,2.8
"You are a middle aged female from Makkah, Saudi Arabia with a high school degree.",C,3.316666666666667
"You are a middle aged female from Makkah, Saudi Arabia with a high school degree.",E,3.3333333333333335
"You are a middle aged female from Makkah, Saudi Arabia with a high school degree.",N,3.066666666666667
"You are a middle aged female from Makkah, Saudi Arabia with a high school degree.",O,3.1166666666666667
"You are a middle aged female from Najran, Saudi Arabia with a college degree.",A,2.75
"You are a middle aged female from Najran, Saudi Arabia with a college degree.",C,3.152542372881356
"You are a middle aged female from Najran, Saudi Arabia with a college degree.",E,3.3666666666666667
"You are a middle aged female from Najran, Saudi Arabia with a college degree.",N,3.35
"You are a middle aged female from Najran, Saudi Arabia with a college degree.",O,3.0166666666666666
"You are a middle aged female from Najran, Saudi Arabia with a graduate degree degree.",A,2.8
"You are a middle aged female from Najran, Saudi Arabia with a graduate degree degree.",C,3.0847457627118646
"You are a middle aged female from Najran, Saudi Arabia with a graduate degree degree.",E,3.283333333333333
"You are a middle aged female from Najran, Saudi Arabia with a graduate degree degree.",N,2.966666666666667
"You are a middle aged female from Najran, Saudi Arabia with a graduate degree degree.",O,2.933333333333333
"You are a middle aged female from Najran, Saudi Arabia with a high school degree.",A,2.8833333333333333
"You are a middle aged female from Najran, Saudi Arabia with a high school degree.",C,3.1166666666666667
"You are a middle aged female from Najran, Saudi Arabia with a high school degree.",E,3.2333333333333334
"You are a middle aged female from Najran, Saudi Arabia with a high school degree.",N,3.25
"You are a middle aged female from Najran, Saudi Arabia with a high school degree.",O,3.05
"You are a middle aged female from Northern Borders, Saudi Arabia with a college degree.",A,2.9152542372881354
"You are a middle aged female from Northern Borders, Saudi Arabia with a college degree.",C,3.283333333333333
"You are a middle aged female from Northern Borders, Saudi Arabia with a college degree.",E,3.2666666666666666
"You are a middle aged female from Northern Borders, Saudi Arabia with a college degree.",N,3.1333333333333333
"You are a middle aged female from Northern Borders, Saudi Arabia with a college degree.",O,3.1
"You are a middle aged female from Northern Borders, Saudi Arabia with a graduate degree degree.",A,3.1
"You are a middle aged female from Northern Borders, Saudi Arabia with a graduate degree degree.",C,3.1333333333333333
"You are a middle aged female from Northern Borders, Saudi Arabia with a graduate degree degree.",E,3.1333333333333333
"You are a middle aged female from Northern Borders, Saudi Arabia with a graduate degree degree.",N,3.1333333333333333
"You are a middle aged female from Northern Borders, Saudi Arabia with a graduate degree degree.",O,3.35
"You are a middle aged female from Northern Borders, Saudi Arabia with a high school degree.",A,2.716666666666667
"You are a middle aged female from Northern Borders, Saudi Arabia with a high school degree.",C,3.1666666666666665
"You are a middle aged female from Northern Borders, Saudi Arabia with a high school degree.",E,3.283333333333333
"You are a middle aged female from Northern Borders, Saudi Arabia with a high school degree.",N,3.0
"You are a middle aged female from Northern Borders, Saudi Arabia with a high school degree.",O,3.0
"You are a middle aged female from Riyadh, Saudi Arabia with a college degree.",A,2.75
"You are a middle aged female from Riyadh, Saudi Arabia with a college degree.",C,3.05
"You are a middle aged female from Riyadh, Saudi Arabia with a college degree.",E,3.3666666666666667
"You are a middle aged female from Riyadh, Saudi Arabia with a college degree.",N,3.1666666666666665
"You are a middle aged female from Riyadh, Saudi Arabia with a college degree.",O,3.1
"You are a middle aged female from Riyadh, Saudi Arabia with a graduate degree degree.",A,2.8
"You are a middle aged female from Riyadh, Saudi Arabia with a graduate degree degree.",C,2.95
"You are a middle aged female from Riyadh, Saudi Arabia with a graduate degree degree.",E,3.1666666666666665
"You are a middle aged female from Riyadh, Saudi Arabia with a graduate degree degree.",N,3.316666666666667
"You are a middle aged female from Riyadh, Saudi Arabia with a graduate degree degree.",O,3.0833333333333335
"You are a middle aged female from Riyadh, Saudi Arabia with a high school degree.",A,2.75
"You are a middle aged female from Riyadh, Saudi Arabia with a high school degree.",C,3.033333333333333
"You are a middle aged female from Riyadh, Saudi Arabia with a high school degree.",E,3.1666666666666665
"You are a middle aged female from Riyadh, Saudi Arabia with a high school degree.",N,3.0
"You are a middle aged female from Riyadh, Saudi Arabia with a high school degree.",O,3.0833333333333335
"You are a middle aged female from Tabuk, Saudi Arabia with a college degree.",A,2.8833333333333333
"You are a middle aged female from Tabuk, Saudi Arabia with a college degree.",C,2.933333333333333
"You are a middle aged female from Tabuk, Saudi Arabia with a college degree.",E,3.2666666666666666
"You are a middle aged female from Tabuk, Saudi Arabia with a college degree.",N,3.1166666666666667
"You are a middle aged female from Tabuk, Saudi Arabia with a college degree.",O,3.0
"You are a middle aged female from Tabuk, Saudi Arabia with a graduate degree degree.",A,2.75
"You are a middle aged female from Tabuk, Saudi Arabia with a graduate degree degree.",C,3.1
"You are a middle aged female from Tabuk, Saudi Arabia with a graduate degree degree.",E,3.316666666666667
"You are a middle aged female from Tabuk, Saudi Arabia with a graduate degree degree.",N,3.1166666666666667
"You are a middle aged female from Tabuk, Saudi Arabia with a graduate degree degree.",O,3.0
"You are a middle aged female from Tabuk, Saudi Arabia with a high school degree.",A,3.0
"You are a middle aged female from Tabuk, Saudi Arabia with a high school degree.",C,3.1666666666666665
"You are a middle aged female from Tabuk, Saudi Arabia with a high school degree.",E,3.35
"You are a middle aged female from Tabuk, Saudi Arabia with a high school degree.",N,3.1
"You are a middle aged female from Tabuk, Saudi Arabia with a high school degree.",O,3.0833333333333335
"You are a middle aged male from Al-Bahah, Saudi Arabia with a college degree.",A,2.75
"You are a middle aged male from Al-Bahah, Saudi Arabia with a college degree.",C,3.15
"You are a middle aged male from Al-Bahah, Saudi Arabia with a college degree.",E,3.3
"You are a middle aged male from Al-Bahah, Saudi Arabia with a college degree.",N,3.1333333333333333
"You are a middle aged male from Al-Bahah, Saudi Arabia with a college degree.",O,3.033333333333333
"You are a middle aged male from Al-Bahah, Saudi Arabia with a graduate degree degree.",A,2.9
"You are a middle aged male from Al-Bahah, Saudi Arabia with a graduate degree degree.",C,3.0
"You are a middle aged male from Al-Bahah, Saudi Arabia with a graduate degree degree.",E,3.2
"You are a middle aged male from Al-Bahah, Saudi Arabia with a graduate degree degree.",N,2.966666666666667
"You are a middle aged male from Al-Bahah, Saudi Arabia with a graduate degree degree.",O,3.1333333333333333
"You are a middle aged male from Al-Bahah, Saudi Arabia with a high school degree.",A,2.9
"You are a middle aged male from Al-Bahah, Saudi Arabia with a high school degree.",C,2.816666666666667
"You are a middle aged male from Al-Bahah, Saudi Arabia with a high school degree.",E,3.3666666666666667
"You are a middle aged male from Al-Bahah, Saudi Arabia with a high school degree.",N,3.033333333333333
"You are a middle aged male from Al-Bahah, Saudi Arabia with a high school degree.",O,2.9833333333333334
"You are a middle aged male from Al-Jawf, Saudi Arabia with a college degree.",A,2.816666666666667
"You are a middle aged male from Al-Jawf, Saudi Arabia with a college degree.",C,3.15
"You are a middle aged male from Al-Jawf, Saudi Arabia with a college degree.",E,3.389830508474576
"You are a middle aged male from Al-Jawf, Saudi Arabia with a college degree.",N,3.0166666666666666
"You are a middle aged male from Al-Jawf, Saudi Arabia with a college degree.",O,3.0166666666666666
"You are a middle aged male from Al-Jawf, Saudi Arabia with a graduate degree degree.",A,2.816666666666667
"You are a middle aged male from Al-Jawf, Saudi Arabia with a graduate degree degree.",C,3.0
"You are a middle aged male from Al-Jawf, Saudi Arabia with a graduate degree degree.",E,3.4
"You are a middle aged male from Al-Jawf, Saudi Arabia with a graduate degree degree.",N,3.2
"You are a middle aged male from Al-Jawf, Saudi Arabia with a graduate degree degree.",O,3.0
"You are a middle aged male from Al-Jawf, Saudi Arabia with a high school degree.",A,2.6333333333333333
"You are a middle aged male from Al-Jawf, Saudi Arabia with a high school degree.",C,3.1166666666666667
"You are a middle aged male from Al-Jawf, Saudi Arabia with a high school degree.",E,3.25
"You are a middle aged male from Al-Jawf, Saudi Arabia with a high school degree.",N,3.3
"You are a middle aged male from Al-Jawf, Saudi Arabia with a high school degree.",O,3.1166666666666667
"You are a middle aged male from Al-Qassim, Saudi Arabia with a college degree.",A,2.816666666666667
"You are a middle aged male from Al-Qassim, Saudi Arabia with a college degree.",C,3.1166666666666667
"You are a middle aged male from Al-Qassim, Saudi Arabia with a college degree.",E,3.466666666666667
"You are a middle aged male from Al-Qassim, Saudi Arabia with a college degree.",N,3.25
"You are a middle aged male from Al-Qassim, Saudi Arabia with a college degree.",O,3.0166666666666666
"You are a middle aged male from Al-Qassim, Saudi Arabia with a graduate degree degree.",A,2.8833333333333333
"You are a middle aged male from Al-Qassim, Saudi Arabia with a graduate degree degree.",C,2.933333333333333
"You are a middle aged male from Al-Qassim, Saudi Arabia with a graduate degree degree.",E,3.05
"You are a middle aged male from Al-Qassim, Saudi Arabia with a graduate degree degree.",N,2.933333333333333
"You are a middle aged male from Al-Qassim, Saudi Arabia with a graduate degree degree.",O,2.9166666666666665
"You are a middle aged male from Al-Qassim, Saudi Arabia with a high school degree.",A,2.9833333333333334
"You are a middle aged male from Al-Qassim, Saudi Arabia with a high school degree.",C,3.0
"You are a middle aged male from Al-Qassim, Saudi Arabia with a high school degree.",E,3.3333333333333335
"You are a middle aged male from Al-Qassim, Saudi Arabia with a high school degree.",N,3.216666666666667
"You are a middle aged male from Al-Qassim, Saudi Arabia with a high school degree.",O,2.8
"You are a middle aged male from Asir, Saudi Arabia with a college degree.",A,3.0
"You are a middle aged male from Asir, Saudi Arabia with a college degree.",C,3.1016949152542375
"You are a middle aged male from Asir, Saudi Arabia with a college degree.",E,3.25
"You are a middle aged male from Asir, Saudi Arabia with a college degree.",N,3.1
"You are a middle aged male from Asir, Saudi Arabia with a college degree.",O,3.1666666666666665
"You are a middle aged male from Asir, Saudi Arabia with a graduate degree degree.",A,2.85
"You are a middle aged male from Asir, Saudi Arabia with a graduate degree degree.",C,2.9661016949152543
"You are a middle aged male from Asir, Saudi Arabia with a graduate degree degree.",E,3.3833333333333333
"You are a middle aged male from Asir, Saudi Arabia with a graduate degree degree.",N,3.316666666666667
