Trait,Rating
N,4
E,4
O,3
A,4
C,4
N,2
E,4
O,4
C,5
E,2
O,4
A,4
C,4
N,1
E,4
O,3
A,4
C,2
N,4
E,4
O,4
A,3
C,2
N,4
E,4
A,4
C,2
N,2
E,5
O,4
A,4
C,5
N,4
E,4
O,5
A,5
C,4
E,4
O,4
A,4
C,2
N,1
O,4
A,1
C,4
N,4
E,4
O,2
A,1
C,2
N,4
E,5
O,2
A,2
N,1
E,5
O,4
A,2
C,4
N,4
E,5
O,4
A,1
C,3
N,2
E,4
O,4
A,5
C,5
N,3
E,3
O,5
A,1
C,4
N,4
E,5
O,2
A,2
C,5
N,2
E,2
O,4
A,3
C,4
N,4
E,4
O,5
A,4
C,1
N,2
E,2
O,4
A,3
C,4
N,1
E,4
O,4
A,4
C,3
N,2
E,4
O,4
A,3
C,4
N,4
E,4
O,4
A,1
C,2
E,4
O,4
A,4
C,1
N,4
E,5
O,1
A,4
N,2
E,4
O,5
A,4
C,4
N,2
E,2
A,2
C,4
N,2
O,4
A,1
C,4
N,5
E,2
O,4
A,3
C,1
N,4
E,4
O,2
A,1
C,1
N,1
E,3
O,4
A,4
C,4
N,3
E,3
O,3
A,4
C,2
N,2
E,2
O,3
A,3
C,1
N,4
E,1
O,2
A,2
C,4
N,1
E,2
O,4
A,2
C,2
N,2
E,4
O,3
A,3
C,3
N,3
E,3
O,1
A,3
C,1
N,1
E,3
O,3
A,3
C,0
N,4
O,1
A,3
C,2
N,4
E,2
O,2
A,3
C,4
N,1
E,2
O,3
A,3
C,1
N,3
E,2
O,1
A,4
C,1
N,3
E,3
O,1
A,1
N,0
E,2
O,3
A,1
C,1
N,1
E,4
O,3
A,3
C,3
N,3
E,3
O,1
A,4
C,1
N,3
E,2
O,3
A,3
N,3
E,4
O,1
A,3
C,1
N,3
E,3
O,1
A,3
C,3
N,1
E,1
O,3
A,3
C,4
N,1
E,3
O,3
N,4
E,2
O,3
A,3
C,1
N,3
E,4
A,3
C,2
N,1
E,3
O,1
A,1
C,1
N,0
E,3
O,0
A,4
C,2
N,1
E,3
O,3
A,3
C,3
N,3
E,1
O,3
A,3
N,1
E,3
O,3
A,3
C,4
N,3
E,4
O,2
A,3
C,1
N,4
E,3
O,4
A,4
C,1
